defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	cell_entity	cell_entity_label	exact_syns	term_id	depicted_by	image_comment	def_dbxref
PLANA:0003100	testis cell	PLANA:0000208	testis	PLANA:0000499	cell		PLANA:0003100			PMID:29674431
PLANA:0003101	ventral epidermis cell	PLANA:0000096	ventral epidermis	PLANA:0000499	cell	ventral ciliated cell | ventral epithelial cell | ventral motile ciliated cell | ventral multiciliated cell	PLANA:0003101			PMID:23144623|PMID:22479207
PLANA:0003102	visual system cell	PLANA:0000124	visual system 	PLANA:0000499	cell	visual cell	PLANA:0003102			PMID:24922054|PMID:17905225
PLANA:0003103	eye cell	PLANA:0000036	eye	PLANA:0000499	cell	photoreceptor cell | photosensitive cell	PLANA:0003103			PMID:29357350
PLANA:0003104	enteric muscle cell	PLANA:0000061	enteric musculature 	PLANA:0000499	cell	intestinal muscle cell | gut muscle cell	PLANA:0003104			PMID:23954785|PMID:25558068
PLANA:0003105	dorsal epidermis cell	PLANA:0000054	dorsal epidermis	PLANA:0000499	cell	dorsal epithelial cell	PLANA:0003105			PMID:22479207
PLANA:0003106	adhesion gland cell	PLANA:0007538	adhesion gland	PLANA:0000499	cell		PLANA:0003106			PMID:16890156|PMID:28976975
PLANA:0003107	body wall muscle cell	PLANA:0000240	body wall musculature	PLANA:0000499	cell	body wall muscle fiber | body-wall muscle cell	PLANA:0003107			PMID:25254346|PMID:24992682|PMID:25725068|PMID:23954785|PMID:26525673
PLANA:0003108	gastrodermal cell	PLANA:0000066	gastrodermis	PLANA:0000499	cell	intestinal cell | gut cell	PLANA:0003108			PMID:19174194|PMID:22479207|PMID:27122174
PLANA:0003109	anterior pole cell	PLANA:0007524	anterior pole	PLANA:0000499	cell		PLANA:0003109			PMID:24992682|PMID:29674431|PMID:30471994
PLANA:0003110	pharynx neuron	PLANA:0000016	pharynx	PLANA:0000099	neuron	pharyngeal neuron	PLANA:0003110			PMID:29674431|PMID:30485821|PMID:18202849
PLANA:0003111	pharynx epithelial cell	PLANA:0000016	pharynx	PLANA:0000100	epithelial cell 	pharynx epithelial cell	PLANA:0003111			PMID:20511647
PLANA:0003112	pharynx muscle cell 	PLANA:0000016	pharynx	PLANA:0000101	muscle cell	pharynx muscle fiber	PLANA:0003112			PMID:27068018
PLANA:0003113	pharynx pouch epithelial cell	PLANA:0000081	pharynx pouch	PLANA:0000100	epithelial cell 	pharyngeal cavity epithelial cell | pharynx cavity epithelial cell	PLANA:0003113			
PLANA:0003114	melanin pigment granule	PLANA:0002035	eumelanin	PLANA:0002076	pigment granule	melanin | melanosome | photoreceptor pigment	PLANA:0003114			PMID:26017970|PMID:27551436|PMID:25356635
PLANA:0003115	ommochrome pigment granule	PLANA:0002069	ommochrome pigment	PLANA:0002076	pigment granule		PLANA:0003115			
PLANA:0003116	parenchymal cell	PLANA:0007554	parenchyma	PLANA:0000499	cell		PLANA:0003116			PMID:19247960|PMID:29674431
