defined_class	defined_class_name	existence_ends_during_or_before	existence_ends_during_or_before_label
PLANA:0000023	temporary embryonic pharynx	PLANA:0000006	Stage 6
PLANA:0000041	aboral hemisphere	PLANA:0000006	Stage 6
PLANA:0000058	embryonic digestive system	PLANA:0000007	Stage 7
PLANA:0000059	embryonic gut cell	PLANA:0000006	Stage 6
PLANA:0000060	embryonic wall	PLANA:0000005	Stage 5
PLANA:0000068	embryonic gut cavity	PLANA:0000007	Stage 7
PLANA:0000076	oral hemisphere	PLANA:0000006	Stage 6
PLANA:0000085	primitive gut cell	PLANA:0000005	Stage 5
PLANA:0000092	yolk syncytium	PLANA:0000002	Stage 2
PLANA:0000098	zygote	PLANA:0000001	Stage 1
PLANA:0000212	blastomere compartment	PLANA:0000005	Stage 5
PLANA:0002031	embryonic gut	PLANA:0000006	Stage 6
PLANA:0002087	primitive gut	PLANA:0000006	Stage 6
PLANA:0004513	primtive gut cell surface	PLANA:0000005	Stage 5
PLANA:0004514	embryonic gut cell surface	PLANA:0000006	Stage 6
PLANA:0004516	temporary embryonic pharynx lumen epithelial surface	PLANA:0000006	Stage 6
PLANA:0004517	blastomere	PLANA:0000005	Stage 5
PLANA:0004519	temporary embryonic pharynx neuron	PLANA:0000006	Stage 6
PLANA:0004520	temporary embryonic pharynx radial muscle cell	PLANA:0000006	Stage 6
PLANA:0004521	temporary embryonic pharynx epithelial cell	PLANA:0000006	Stage 6
PLANA:0004524	temporary embryonic pharynx circular muscle cell	PLANA:0000006	Stage 6
PLANA:0007556	temporary embryonic pharynx cavity	PLANA:0000006	Stage 6
