defined_class	defined_class_name	produced_by	produced_by_label
PLANA:0000074	oocyte	PLANA:0000204	ovary
PLANA:0000090	sperm	PLANA:0000208	testis
PLANA:0000092	yolk syncytium	PLANA:0000107	yolk cell
PLANA:0000107	yolk cell	PLANA:0000231	vitelline gland
PLANA:0000122	gamete	PLANA:0000217	gonad
PLANA:0000215	reproductive system product	PLANA:0000126	reproductive system
PLANA:0000216	egg capsule	PLANA:0004503	adult hermaphrodite
PLANA:0002059	mucus	PLANA:0000105	secretory cell
PLANA:0002098	stalk	PLANA:0000224	cement gland
